fortna_name,device_type,direction,fortna_bank,fortna_bit,module_data_ref,mapped,notes
"M436","motor","O","404","0","T_1794_AENT_2:5:O.Data.0",Y,"alt=T_1794_AENT_2:O.Data[5].0; type=1794-OA8I; word=404; eip=404"
"M436_AUX","motor","I","405","0","T_1794_AENT_2:6:I.Data.0",Y,"alt=T_1794_AENT_2:I.Data[6].0; type=1794-IA16; word=405; eip=405"
"M446","motor","O","411","1","",N,"UNMAPPED word 411 \u2014 not in Configio/EIPCSV (other panel/PLC bank, or missing module)"
"M446_AUX","motor","I","407","1","T_1794_AENT_2:8:I.Data.1",Y,"alt=T_1794_AENT_2:I.Data[8].1; type=1794-IA16; word=407; eip=407"
"M448","motor","O","404","1","T_1794_AENT_2:5:O.Data.1",Y,"alt=T_1794_AENT_2:O.Data[5].1; type=1794-OA8I; word=404; eip=404"
"M448_AUX","motor","I","405","1","T_1794_AENT_2:6:I.Data.1",Y,"alt=T_1794_AENT_2:I.Data[6].1; type=1794-IA16; word=405; eip=405"
"M450","motor","O","404","2","T_1794_AENT_2:5:O.Data.2",Y,"alt=T_1794_AENT_2:O.Data[5].2; type=1794-OA8I; word=404; eip=404"
"M450_AUX","motor","I","405","2","T_1794_AENT_2:6:I.Data.2",Y,"alt=T_1794_AENT_2:I.Data[6].2; type=1794-IA16; word=405; eip=405"
"M456","motor","O","404","3","T_1794_AENT_2:5:O.Data.3",Y,"alt=T_1794_AENT_2:O.Data[5].3; type=1794-OA8I; word=404; eip=404"
"M456_AUX","motor","I","405","3","T_1794_AENT_2:6:I.Data.3",Y,"alt=T_1794_AENT_2:I.Data[6].3; type=1794-IA16; word=405; eip=405"
"M818","motor","O","404","4","T_1794_AENT_2:5:O.Data.4",Y,"alt=T_1794_AENT_2:O.Data[5].4; type=1794-OA8I; word=404; eip=404"
"M818_AUX","motor","I","405","4","T_1794_AENT_2:6:I.Data.4",Y,"alt=T_1794_AENT_2:I.Data[6].4; type=1794-IA16; word=405; eip=405"
"M822","motor","O","404","5","T_1794_AENT_2:5:O.Data.5",Y,"alt=T_1794_AENT_2:O.Data[5].5; type=1794-OA8I; word=404; eip=404"
"M822_AUX","motor","I","405","5","T_1794_AENT_2:6:I.Data.5",Y,"alt=T_1794_AENT_2:I.Data[6].5; type=1794-IA16; word=405; eip=405"
"M824","motor","O","404","6","T_1794_AENT_2:5:O.Data.6",Y,"alt=T_1794_AENT_2:O.Data[5].6; type=1794-OA8I; word=404; eip=404"
"M824_AUX","motor","I","405","6","T_1794_AENT_2:6:I.Data.6",Y,"alt=T_1794_AENT_2:I.Data[6].6; type=1794-IA16; word=405; eip=405"
"M826","motor","O","404","7","T_1794_AENT_2:5:O.Data.7",Y,"alt=T_1794_AENT_2:O.Data[5].7; type=1794-OA8I; word=404; eip=404"
"M826_AUX","motor","I","405","7","T_1794_AENT_2:6:I.Data.7",Y,"alt=T_1794_AENT_2:I.Data[6].7; type=1794-IA16; word=405; eip=405"
"M828","motor","O","406","0","T_1794_AENT_2:7:O.Data.0",Y,"alt=T_1794_AENT_2:O.Data[7].0; type=1794-OA8I; word=406; eip=406"
"M828_AUX","motor","I","405","10","T_1794_AENT_2:6:I.Data.8",Y,"alt=T_1794_AENT_2:I.Data[6].8; type=1794-IA16; word=405; eip=405"
"M832","motor","O","406","1","T_1794_AENT_2:7:O.Data.1",Y,"alt=T_1794_AENT_2:O.Data[7].1; type=1794-OA8I; word=406; eip=406"
"M832_AUX","motor","I","405","11","T_1794_AENT_2:6:I.Data.9",Y,"alt=T_1794_AENT_2:I.Data[6].9; type=1794-IA16; word=405; eip=405"
"PS304","power_supply","O","105","16","T_1794_AENT_1:6:I.Data.14",Y,"alt=T_1794_AENT_1:I.Data[6].14; type=1794-IA16; word=105"
"PS414","power_supply","O","403","6","T_1794_AENT_3:3:I.Data.6",Y,"alt=T_1794_AENT_3:I.Data[3].6; type=1794-IA16; word=403"
"SSV424A1","digital_out","O","423","16","T_1794_AENT_4:4:O.Data.14",Y,"alt=T_1794_AENT_4:O.Data[4].14; type=1794-OB16P; word=423; eip=423"
"SSV424A2","digital_out","O","423","17","T_1794_AENT_4:4:O.Data.15",Y,"alt=T_1794_AENT_4:O.Data[4].15; type=1794-OB16P; word=423; eip=423"
"SSVEZPE231A_P","digital_out","O","1007","4","T_1794_AENT_5:7:O.Data.4",Y,"alt=T_1794_AENT_5:O.Data[7].4; type=1794-OB16P; word=1007; eip=1007"
"VFD118_AUX","vfd","I","424","0","T_1794_AENT_4:5:I.Data.0",Y,"alt=T_1794_AENT_4:I.Data[5].0; type=1794-IB16; word=424; eip=86; via=configio"
"VFD118_EN","vfd","O","423","0","T_1794_AENT_4:4:O.Data.0",Y,"alt=T_1794_AENT_4:O.Data[4].0; type=1794-OB16P; word=423; eip=423"
"VFD118_FLT","vfd","O","424","1","T_1794_AENT_4:5:I.Data.1",Y,"alt=T_1794_AENT_4:I.Data[5].1; type=1794-IB16; word=424"
"VFD120_AUX","vfd","I","424","2","T_1794_AENT_4:5:I.Data.2",Y,"alt=T_1794_AENT_4:I.Data[5].2; type=1794-IB16; word=424; eip=86; via=configio"
"VFD120_EN","vfd","O","423","1","T_1794_AENT_4:4:O.Data.1",Y,"alt=T_1794_AENT_4:O.Data[4].1; type=1794-OB16P; word=423; eip=423"
"VFD216_AUX","vfd","I","424","3","T_1794_AENT_4:5:I.Data.3",Y,"alt=T_1794_AENT_4:I.Data[5].3; type=1794-IB16; word=424; eip=86; via=configio"
"VFD216_EN","vfd","O","423","2","T_1794_AENT_4:4:O.Data.2",Y,"alt=T_1794_AENT_4:O.Data[4].2; type=1794-OB16P; word=423; eip=423"
"VFD218_AUX","vfd","I","424","5","T_1794_AENT_4:5:I.Data.5",Y,"alt=T_1794_AENT_4:I.Data[5].5; type=1794-IB16; word=424; eip=86; via=configio"
