"Buffer Position"~"Index"~"Sorter"
324~-1~SHIP SCAN~
325~-1~SHIP SCAN~
326~-1~SHIP SCAN~
327~-1~SHIP SCAN~
328~-1~SHIP SCAN~
329~-1~SHIP SCAN~
330~-1~SHIP SCAN~
331~-1~SHIP SCAN~
332~-1~SHIP SCAN~
333~-1~SHIP SCAN~
334~-1~SHIP SCAN~
335~-1~SHIP SCAN~
336~-1~SHIP SCAN~
337~-1~SHIP SCAN~
338~-1~SHIP SCAN~
339~-1~SHIP SCAN~
340~-1~SHIP SCAN~
341~-1~SHIP SCAN~
342~-1~SHIP SCAN~
343~-1~SHIP SCAN~
344~-1~SHIP SCAN~
345~-1~SHIP SCAN~
346~-1~SHIP SCAN~
347~-1~SHIP SCAN~
348~-1~SHIP SCAN~
349~-1~SHIP SCAN~
350~-1~SHIP SCAN~
351~-1~SHIP SCAN~
352~-1~SHIP SCAN~
353~-1~SHIP SCAN~
354~-1~SHIP SCAN~
355~-1~SHIP SCAN~
356~-1~SHIP SCAN~
357~-1~SHIP SCAN~
358~-1~SHIP SCAN~
359~-1~SHIP SCAN~
360~-1~SHIP SCAN~
361~-1~SHIP SCAN~
362~-1~SHIP SCAN~
363~-1~SHIP SCAN~
364~-1~SHIP SCAN~
365~-1~SHIP SCAN~
366~-1~SHIP SCAN~
367~-1~SHIP SCAN~
368~-1~SHIP SCAN~
369~-1~SHIP SCAN~
370~-1~SHIP SCAN~
371~-1~SHIP SCAN~
372~-1~SHIP SCAN~
373~-1~SHIP SCAN~
374~-1~SHIP SCAN~
375~-1~SHIP SCAN~
376~-1~SHIP SCAN~
377~-1~SHIP SCAN~
378~-1~SHIP SCAN~
379~-1~SHIP SCAN~
380~-1~SHIP SCAN~
381~-1~SHIP SCAN~
382~-1~SHIP SCAN~
383~-1~SHIP SCAN~
384~-1~SHIP SCAN~
385~-1~SHIP SCAN~
386~-1~SHIP SCAN~
387~-1~SHIP SCAN~
388~-1~SHIP SCAN~
389~-1~SHIP SCAN~
390~-1~SHIP SCAN~
391~-1~SHIP SCAN~
392~-1~SHIP SCAN~
393~-1~SHIP SCAN~
394~-1~SHIP SCAN~
395~-1~SHIP SCAN~
396~-1~SHIP SCAN~
397~-1~SHIP SCAN~
398~-1~SHIP SCAN~
399~-1~SHIP SCAN~
400~-1~SHIP SCAN~
401~-1~SHIP SCAN~
402~-1~SHIP SCAN~
403~-1~SHIP SCAN~
404~-1~SHIP SCAN~
405~-1~SHIP SCAN~
406~-1~SHIP SCAN~
407~-1~SHIP SCAN~
408~-1~SHIP SCAN~
409~-1~SHIP SCAN~
410~-1~SHIP SCAN~
411~-1~SHIP SCAN~
412~-1~SHIP SCAN~
413~-1~SHIP SCAN~
414~-1~SHIP SCAN~
415~-1~SHIP SCAN~
416~-1~SHIP SCAN~
417~-1~SHIP SCAN~
418~-1~SHIP SCAN~
419~-1~SHIP SCAN~
420~-1~SHIP SCAN~
421~-1~SHIP SCAN~
422~-1~SHIP SCAN~
423~-1~SHIP SCAN~
424~-1~SHIP SCAN~
425~-1~SHIP SCAN~
426~-1~SHIP SCAN~
427~-1~SHIP SCAN~
428~-1~SHIP SCAN~
429~-1~SHIP SCAN~
430~-1~SHIP SCAN~
431~-1~SHIP SCAN~
432~-1~SHIP SCAN~
433~-1~SHIP SCAN~
434~-1~SHIP SCAN~
435~-1~SHIP SCAN~
436~-1~SHIP SCAN~
437~-1~SHIP SCAN~
438~-1~SHIP SCAN~
439~-1~SHIP SCAN~
440~-1~SHIP SCAN~
441~-1~SHIP SCAN~
442~-1~SHIP SCAN~
443~-1~SHIP SCAN~
444~-1~SHIP SCAN~
445~-1~SHIP SCAN~
446~-1~SHIP SCAN~
447~-1~SHIP SCAN~
448~-1~SHIP SCAN~
449~-1~SHIP SCAN~
450~-1~SHIP SCAN~
451~-1~SHIP SCAN~
452~-1~SHIP SCAN~
453~-1~SHIP SCAN~
454~-1~SHIP SCAN~
455~-1~SHIP SCAN~
456~-1~SHIP SCAN~
457~-1~SHIP SCAN~
458~-1~SHIP SCAN~
459~-1~SHIP SCAN~
460~-1~SHIP SCAN~
461~-1~SHIP SCAN~
462~-1~SHIP SCAN~
463~-1~SHIP SCAN~
464~-1~SHIP SCAN~
465~-1~SHIP SCAN~
