"Shifter"~"Data"~"Divert Normal"~"Divert Missing"~"Divert Not Expected"~"End Missing"~"End Not Expected"~"Gap Abort"~"Index"~"Menu"~"OutpointIndx"~"SrtZoneIndx"
Invalid~ ~0~0~0~0~0~0~0~None~0~0~
SHIP SORTER~ ~3~0~0~0~0~0~13~SrtTrack1~5~0~
SHIP SORTER~ ~17~0~0~0~0~0~9~SrtTrack1~19~0~
SHIP SORTER~ ~3~0~0~0~0~0~15~SrtTrack1~5~0~
SHIP SORTER~ ~17~0~0~0~0~0~11~SrtTrack1~19~0~
SHIP SORTER~ ~3~0~0~0~0~0~16~SrtTrack1~5~0~
SHIP SORTER~ ~17~0~0~0~0~0~12~SrtTrack1~19~0~
SHIP SORTER~ ~7~0~0~0~0~0~18~SrtTrack1~9~0~
SHIP SORTER~ ~17~0~0~0~0~0~14~SrtTrack1~19~0~
SHIP SORTER~ ~3~0~0~0~0~0~22~SrtTrack1~5~0~
SHIP SORTER~ ~17~0~0~0~0~0~17~SrtTrack1~19~0~
SHIP SORTER~ ~17~0~0~0~0~0~20~SrtTrack1~19~0~
SHIP SORTER~ ~17~0~0~0~0~0~21~SrtTrack1~19~0~
SHIP SORTER~ ~1~0~0~0~0~0~29~SrtTrack1~2~0~
SHIP SORTER~ ~17~0~0~0~0~0~28~SrtTrack1~19~0~
SHIP SORTER~ ~17~0~0~0~0~0~30~SrtTrack1~19~0~
SHIP SORTER~ ~3~0~0~0~0~0~36~SrtTrack1~5~0~
SHIP SORTER~ ~3~0~0~0~0~0~37~SrtTrack1~5~0~
SHIP SORTER~ ~1~0~0~0~0~0~38~SrtTrack1~2~0~
SHIP SORTER~ ~17~0~0~0~0~0~33~SrtTrack1~19~0~
SHIP SORTER~ ~1~0~0~0~0~0~39~SrtTrack1~2~0~
SHIP SORTER~ ~3~0~0~0~0~0~40~SrtTrack1~5~0~
SHIP SORTER~ ~5~0~0~0~0~0~41~SrtTrack1~7~0~
SHIP SORTER~ ~3~0~0~0~0~0~44~SrtTrack1~5~0~
SHIP SORTER~ ~3~0~0~0~0~0~45~SrtTrack1~5~0~
SHIP SORTER~ ~17~0~0~0~0~0~42~SrtTrack1~19~0~
SHIP SORTER~ ~3~0~0~0~0~0~46~SrtTrack1~5~0~
SHIP SORTER~ ~7~0~0~0~0~0~48~SrtTrack1~9~0~
SHIP SORTER~ ~1~0~0~0~0~0~49~SrtTrack1~2~0~
SHIP SORTER~ ~17~0~0~0~0~0~47~SrtTrack1~19~0~
SHIP SORTER~ ~3~0~0~0~0~0~52~SrtTrack1~5~0~
SHIP SORTER~ ~17~0~0~0~0~0~50~SrtTrack1~19~0~
SHIP SORTER~ ~1~0~0~0~0~0~54~SrtTrack1~2~0~
SHIP SORTER~ ~3~0~0~0~0~0~55~SrtTrack1~5~0~
SHIP SORTER~ ~3~0~0~0~0~0~57~SrtTrack1~5~0~
SHIP SORTER~ ~17~0~0~0~0~0~56~SrtTrack1~19~0~
SHIP SORTER~ ~3~0~0~0~0~0~59~SrtTrack1~5~0~
SHIP SORTER~ ~17~0~0~0~0~0~58~SrtTrack1~19~0~
SHIP SORTER~ ~5~0~0~0~0~0~63~SrtTrack1~7~0~
SHIP SORTER~ ~17~0~0~0~0~0~61~SrtTrack1~19~0~
SHIP SORTER~ ~5~0~0~0~0~0~66~SrtTrack1~7~0~
SHIP SORTER~ ~17~0~0~0~0~0~64~SrtTrack1~19~0~
SHIP SORTER~ ~17~0~0~0~0~0~65~SrtTrack1~19~0~
SHIP SORTER~ ~7~0~0~0~0~0~68~SrtTrack1~9~0~
SHIP SORTER~ ~17~0~0~0~0~0~67~SrtTrack1~19~0~
SHIP SORTER~ ~17~0~0~0~0~0~69~SrtTrack1~19~0~
SHIP SORTER~ ~17~0~0~0~0~0~70~SrtTrack1~19~0~
SHIP SORTER~ ~7~0~0~0~0~0~74~SrtTrack1~9~0~
SHIP SORTER~ ~17~0~0~0~0~0~71~SrtTrack1~19~0~
SHIP SORTER~ ~17~0~0~0~0~0~72~SrtTrack1~19~0~
SHIP SORTER~ ~7~0~0~0~0~0~77~SrtTrack1~9~0~
SHIP SORTER~ ~17~0~0~0~0~0~75~SrtTrack1~19~0~
SHIP SORTER~ ~17~0~0~0~0~0~76~SrtTrack1~19~0~
SHIP SORTER~ ~17~0~0~0~0~0~78~SrtTrack1~19~0~
SHIP SORTER~ ~5~0~0~0~0~0~82~SrtTrack1~7~0~
SHIP SORTER~ ~17~0~0~0~0~0~79~SrtTrack1~19~0~
SHIP SORTER~ ~3~0~0~0~0~0~83~SrtTrack1~5~0~
